filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
02 Alive.mp3,0.33275977,0.2297563,2194.6492728915546,2329.7887081849294,4359.866529288271,0.10699876961729075,-77.54336,96.08642,-10.148617,23.085545,4.817473,0.07893912,13.658725,-9.704895,1.5037806,-0.41393283,-9.921996,1.6272647,-5.0927644,5.712321,-2.649188,0.8578128,-2.6519928,1.1720597,-5.164227,2.7382948, no-data
02 Beats Knockin (feat. Fly Boi Keno).m4a,0.5263439,0.40621883,3247.234945253494,2972.510619529149,7010.283917794766,0.12531685221441508,18.671955,53.388187,-1.5297546,6.529159,4.8387628,11.893183,-1.9833022,15.642947,-0.5950664,11.809632,-1.4836808,8.141197,3.0446572,5.741696,2.1603253,6.2325115,-1.6944288,4.344298,-1.6978519,5.529524, no-data
02 Birds.mp3,0.41305014,0.34219798,1639.1716422863178,2053.914117275079,3541.657654476591,0.05636224333071544,-49.546577,118.073456,-7.367984,34.933548,13.061958,12.9984,4.436338,10.507816,5.397774,9.055403,1.0712593,7.422736,3.8138094,11.03685,4.058273,7.807198,-2.4971056,2.0961628,0.9524477,3.212842, no-data
02 Jeena Jeena (Badlapur)-(InMaza.com).mp3,0.26215196,0.21227805,1845.1086116062609,2459.8510766300324,4132.410689964271,0.05846546852827894,-138.514,105.85127,19.534231,17.521814,14.740178,6.581265,2.3937287,0.64756554,-3.118881,13.029479,-2.5449646,2.7172902,-5.7837095,3.0795796,-4.2288656,-2.264285,-8.032774,-3.911778,-8.575028,1.6066862, no-data
02 Kaun Tujhe (M.S. Dhoni - The Untold Story).mp3,0.27137506,0.22632085,1739.6324282803598,2391.0634683970984,3993.518950157287,0.06094863549778867,-126.75108,124.84279,16.460917,14.530104,21.82996,-11.548262,11.419774,2.4445245,-0.8893378,3.7981858,-4.9320745,2.8768134,-2.4028764,2.6024792,-2.9930263,2.8788052,3.2004066,7.7612534,7.9105787,7.8098087, no-data
02 The Game Of Love.m4a,0.30675912,0.17034008,1250.2084707583142,1848.7356890974752,2492.7153729529978,0.04688731522933631,-200.91837,129.58597,32.60101,39.375893,14.845169,8.221448,2.2999463,4.6951118,-2.6945188,0.08928337,-6.5104713,-3.1639922,-4.4024096,-3.3289015,-1.9977846,0.56581324,0.14357707,1.2485888,-0.89405406,2.3590605, no-data
02. Bolna.mp3,0.25607854,0.21409726,2043.1370167269527,2475.5689551161295,4771.86162659011,0.06935212832678883,-123.5413,100.81605,11.838631,12.476038,7.3475056,12.641654,-9.245576,2.2730045,-9.294849,1.444589,-7.112366,-5.6894426,-10.872213,-5.4815607,-11.66637,-2.5990496,-8.945551,-3.379028,-5.6618342,4.500079, no-data
02. James Joint.mp3,0.3234871,0.19810335,1587.2694584457652,2214.37026449738,3471.9741423233695,0.05937106858896941,-162.20384,124.08871,36.246788,17.401423,2.77388,-7.7735934,3.5399556,-8.41711,5.585015,0.8953389,-1.2911859,1.1363848,-9.683153,3.9120758,-5.9368067,0.2793338,-5.715114,-1.624699,-7.1524796,-0.45259395, no-data
02. My Name Is.mp3,0.4235079,0.19451776,2500.601993109562,2405.3934253837224,4865.690893261153,0.1273336642321166,-137.78358,69.710884,-5.1453056,23.994486,10.682733,-6.093581,2.6280434,3.3587885,-9.318147,5.2731476,-6.5594854,4.3341002,-2.8610492,0.79721135,-0.20723145,3.8191698,-5.53234,2.8116238,-8.019852,-0.1632752, no-data
02. Wishing.mp3,0.29929128,0.17517321,2162.3678440598046,2373.376242351026,4548.153622797637,0.09166671701791698,-112.47094,96.47308,-2.4569168,14.937675,-0.5739752,0.15948796,-6.016242,-3.004279,3.770917,-4.7605786,-5.247568,0.39224014,-4.48487,0.3842569,-1.0857809,-0.76725274,-0.8104494,3.1517906,-1.0808831,2.5387619, no-data
020-imagine_dragons_-_believer.mp3,0.397202,0.28792897,2335.1827039728864,2391.999028175365,4903.395187483978,0.09696413344180814,-29.85824,85.430534,-14.364268,22.92349,6.24323,9.793534,-6.934053,9.299463,-3.5629046,1.1168492,0.24851054,1.0506327,0.9384849,3.1267433,0.54001564,6.0376863,-4.439707,-1.0594631,-3.2324975,-0.058454614, no-data
